,interview_age
0,131.0
1,121.0
2,126.0
3,112.0
4,130.0
5,152.0
6,181.0
7,149.0
8,173.0
9,124.0
10,110.0
11,109.0
12,121.0
13,147.0
14,118.0
15,114.0
16,157.0
17,130.0
18,119.0
19,154.0
20,130.0
21,112.0
22,134.0
23,137.0
24,111.0
25,109.0
26,136.0
27,158.0
28,132.0
29,148.0
30,123.0
31,114.0
32,137.0
33,108.0
34,137.0
35,137.0
36,113.0
37,153.0
38,178.0
39,129.0
40,159.0
41,135.0
42,111.0
43,109.0
44,130.0
45,122.0
46,147.0
47,109.0
48,131.0
49,158.0
50,115.0
51,139.0
52,116.0
53,109.0
54,134.0
55,157.0
56,116.0
57,108.0
58,117.0
59,141.0
60,168.0
61,171.0
62,143.0
63,119.0
64,118.0
65,151.0
66,122.0
67,130.0
68,178.0
69,114.0
70,138.0
71,162.0
72,179.0
73,156.0
74,128.0
75,126.0
76,157.0
77,110.0
78,138.0
79,109.0
80,133.0
81,160.0
82,115.0
83,178.0
84,128.0
85,152.0
86,123.0
87,150.0
88,119.0
89,146.0
90,120.0
91,146.0
92,109.0
93,137.0
94,159.0
95,111.0
96,135.0
97,128.0
98,183.0
99,132.0
100,156.0
101,138.0
102,112.0
103,154.0
104,179.0
105,130.0
106,130.0
107,110.0
108,136.0
109,162.0
110,126.0
111,126.0
112,155.0
113,120.0
114,143.0
115,145.0
116,123.0
117,123.0
118,123.0
119,145.0
120,170.0
121,111.0
122,142.0
123,154.0
124,132.0
125,180.0
126,128.0
127,150.0
128,122.0
129,145.0
130,109.0
131,133.0
132,125.0
133,151.0
134,154.0
135,129.0
136,117.0
137,143.0
138,131.0
139,109.0
140,108.0
141,130.0
142,149.0
143,177.0
144,153.0
145,128.0
146,111.0
147,133.0
148,153.0
149,180.0
150,116.0
151,141.0
152,128.0
153,148.0
154,119.0
155,125.0
156,150.0
157,123.0
158,149.0
159,123.0
160,148.0
161,114.0
162,143.0
163,144.0
164,119.0
165,168.0
166,143.0
167,119.0
168,110.0
169,126.0
170,127.0
171,151.0
172,123.0
173,171.0
174,109.0
175,123.0
176,147.0
177,142.0
178,116.0
179,111.0
180,135.0
181,161.0
182,127.0
183,153.0
184,120.0
185,149.0
186,131.0
187,143.0
188,118.0
189,109.0
190,133.0
191,154.0
192,126.0
193,158.0
194,127.0
195,153.0
196,118.0
197,142.0
198,114.0
199,119.0
200,141.0
201,130.0
202,153.0
203,181.0
204,108.0
205,138.0
206,114.0
207,142.0
208,146.0
209,121.0
210,124.0
211,113.0
212,135.0
213,123.0
214,150.0
215,118.0
216,148.0
217,119.0
218,144.0
219,118.0
220,118.0
221,141.0
222,136.0
223,127.0
224,148.0
225,131.0
226,159.0
227,117.0
228,139.0
229,133.0
230,110.0
231,118.0
232,142.0
233,117.0
234,139.0
235,163.0
236,175.0
237,124.0
238,148.0
239,117.0
240,125.0
241,132.0
242,155.0
243,132.0
244,154.0
245,126.0
246,145.0
247,171.0
248,162.0
249,116.0
250,175.0
251,126.0
252,149.0
253,116.0
254,144.0
255,124.0
256,116.0
257,139.0
258,109.0
259,133.0
260,142.0
261,118.0
262,117.0
263,137.0
264,163.0
265,112.0
266,138.0
267,160.0
268,117.0
269,145.0
270,127.0
271,130.0
272,107.0
273,120.0
274,168.0
275,126.0
276,149.0
277,173.0
278,123.0
279,147.0
280,174.0
281,180.0
282,156.0
283,131.0
284,137.0
285,118.0
286,142.0
287,171.0
288,122.0
289,147.0
290,109.0
291,129.0
292,153.0
293,129.0
294,108.0
295,132.0
296,158.0
297,107.0
298,136.0
299,124.0
300,150.0
301,177.0
302,178.0
303,128.0
304,157.0
305,114.0
306,118.0
307,120.0
308,147.0
309,111.0
310,136.0
311,130.0
312,182.0
313,131.0
314,128.0
315,151.0
316,182.0
317,130.0
318,130.0
319,154.0
320,184.0
321,128.0
322,150.0
323,182.0
324,115.0
325,140.0
326,108.0
327,131.0
328,156.0
329,152.0
330,129.0
331,176.0
332,130.0
333,109.0
334,115.0
335,150.0
336,128.0
337,127.0
338,119.0
339,123.0
340,147.0
341,113.0
342,137.0
343,120.0
344,129.0
345,155.0
346,180.0
347,129.0
348,153.0
349,130.0
350,108.0
351,133.0
352,159.0
353,176.0
354,131.0
355,155.0
356,143.0
357,120.0
358,119.0
359,112.0
